,title,genres,rating,rating_voters,season,studio,origin,pg,type,episode_count
455,Невероятное приключение ДжоДжо: Несокрушимый алмаз,Драма;Комедия;Приключения;Сверхъестественное;Сёнэн;Экшен,9.1,11996.0,Весна 2016,David Production,ТВ Сериал,18+,ТВ Сериал,39
456,Мелочи жизни: Эпизод 0,Комедия;Повседневность;Сёнэн;Школа,7.5,210.0,,Kyoto Animation,OVA,16+,OVA,1
457,Стесняшка 2,Драма;Сёнэн;Супер сила;Экшен,4.8,443.0,Лето 2024,8bit,ТВ Сериал,16+,ТВ Сериал,12
458,Как госпожа Вельзевул пожелает,Демоны;Комедия;Романтика;Сёнэн;Фэнтези,7.8,559.0,Осень 2018,LIDEN FILMS,ТВ Сериал,16+,ТВ Сериал,12
459,Заметки Теслы,Экшен,3.0,636.0,Осень 2021,,ТВ Сериал,12+,ТВ Сериал,13
460,Фантом: Реквием по Призраку,Драма;Сэйнэн;Триллер;Экшен,8.6,780.0,Весна 2009,Bee Train,ТВ Сериал,18+,ТВ Сериал,26
461,Непутёвый ученик в школе магии 3,Романтика;Фантастика;Фэнтези;Экшен,7.8,2481.0,Весна 2024,8bit,ТВ Сериал,16+,ТВ Сериал,13
462,Танец мечей: Цветочный круг 2,Драма;Исторический;Комедия;Повседневность;Фэнтези;Экшен,7.0,135.0,Зима 2018,Dogakobo,ТВ Сериал,16+,ТВ Сериал,12
463,Василиск,Исторический;Приключения;Романтика;Самураи;Сверхъестественное;Фэнтези;Экшен,8.3,497.0,Весна 2005,Gonzo,ТВ Сериал,18+,ТВ Сериал,24
464,Горизонт посреди пустоты 2,Фантастика;Фэнтези;Экшен,7.2,206.0,Лето 2012,Sunrise,ТВ Сериал,18+,ТВ Сериал,13
465,Страсть на кончиках пальцев: Мой друг детства — пожарный,Комедия;Романтика;Этти,7.3,541.0,Лето 2019,Studio Mausu,ТВ Сериал,18+,ТВ Сериал,8
466,Повседневная жизнь в фотостудии времени,Комедия;Повседневность,8.4,1168.0,,Студийная Банда,ONA,16+,ONA,1
467,Девчонка не промах,Комедия;Романтика;Сэйнэн;Школа,8.2,654.0,Лето 2018,J.C. Staff,ТВ Сериал,16+,ТВ Сериал,12
468,Сказка о Хвосте феи,Комедия;Магия;Приключения;Сёнэн;Фэнтези;Экшен,8.7,7576.0,Осень 2009,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,175
469,Радость подъема: Следующая вершина,Комедия;Повседневность;Приключения,7.6,152.0,Осень 2022,8bit,ТВ Сериал,16+,ТВ Сериал,12
470,Сумо Хиномару,Боевые искусства;Сёнэн;Спорт,8.5,786.0,Осень 2018,Gonzo,ТВ Сериал,16+,ТВ Сериал,24
471,Музыкальные девчонки,Музыка;Повседневность,4.7,111.0,Лето 2018,Studio DEEN,ТВ Сериал,16+,ТВ Сериал,12
472,Удар крови II,Вампиры;Сверхъестественное;Фэнтези;Экшен;Этти,7.9,1252.0,,Connect,OVA,18+,OVA,8
473,Повелитель 3,Игры;Магия;Приключения;Сверхъестественное;Фэнтези;Экшен,9.0,16311.0,Лето 2018,Madhouse Studios,ТВ Сериал,18+,ТВ Сериал,13
474,Ниндзя Камуи,Фантастика;Фэнтези;Экшен,8.0,10026.0,Зима 2024,Студийная Банда,ТВ Сериал,18+,ТВ Сериал,13
475,Гинтама 5,Исторический;Комедия;Пародия;Самураи;Сёнэн;Фантастика;Экшен,9.2,753.0,Зима 2017,Bandai Namco Pictures,ТВ Сериал,16+,ТВ Сериал,12
476,Унеси меня на Луну: Униформа,Комедия;Романтика;Сёнэн,8.9,3160.0,,Seven Arcs,Спешл,16+,Спешл,1
477,Судьба/Ночь схватки: Прикосновение небес 3,Сверхъестественное;Фэнтези;Экшен,9.0,2005.0,,ufotable,Фильм,18+,Фильм,1
478,Рай Грисайи: Спешлы,Этти,8.1,506.0,,8bit,Спешл,18+,Спешл,5
479,Мир Лидейл,Приключения;Фэнтези,8.3,6033.0,Зима 2022,,ТВ Сериал,16+,ТВ Сериал,12
480,Я в тебе не сомневаюсь,Исторический;Комедия;Романтика,8.6,605.0,,,ONA,16+,ONA,24
481,Синий луч отражения,Магия;Школа,5.8,215.0,Весна 2021,J.C. Staff,ТВ Сериал,12+,ТВ Сериал,24
482,Гэнсикэн. Второе поколение,Комедия;Пародия;Повседневность,6.9,131.0,Лето 2013,Production I.G,ТВ Сериал,18+,ТВ Сериал,13
